t,Ma,O,R,I,demand,S
59,311.38129496402877,0.3192734388489209,1.0,0.10009545323741006,0.0,0.3156643956834533
60,307.4640287769784,0.3288579208633094,1.0,0.09525941007194243,0.0,0.3226734532374101
61,303.59136690647483,0.3384419568345324,1.0,0.09215847482014387,0.0,0.32983639568345324
62,299.7294964028777,0.34999781294964016,1.0,0.10299133812949617,0.0,0.33719642446043163
63,295.81223021582736,0.3684559712230215,1.0,0.15896835971223,0.0,0.3449248345323741
64,291.894964028777,0.3877853165467625,1.0,0.16912035971223022,0.0,0.3530623237410072
65,288.00719424460436,0.407161071942446,1.0,0.1655122877697842,0.0,0.3614945395683453
66,284.16043165467624,0.42631069064748195,1.0,0.15677517266187052,0.0,0.37021958992805754
67,280.2431654676259,0.4437040647482014,1.0,0.14124926618705042,0.0,0.37938599280575536
68,276.3258992805755,0.456364345323741,1.0,0.1075209136690648,0.0,0.3887013165467626
69,272.4230215827338,0.4659481151079137,1.0,0.07092125899280576,0.0,0.39816307913669063
70,268.5769784172662,0.47553188489208625,1.0,0.06971474100719426,0.0,0.4078209208633093
71,264.6741007194245,0.485115654676259,1.0,0.06855255395683454,0.0,0.4176754100719424
72,260.75683453237417,0.43736802158273547,0.7194244604316631,0.0488165467625905,0.28057553956833686,0.42620598561151074
73,256.83956834532376,0.3014182302158271,0.00719424460431517,0.0004881654676258118,0.9928057553956848,0.43262317985611515
74,252.9928057553957,0.09062464028776976,0.0,0.0,1.0,0.43367011510791365
75,249.10503597122306,0.019230805755395465,0.41726618705035406,0.41726618705035406,0.582733812949646,0.43507826618705037
76,245.18776978417267,0.046659827338129414,1.0,0.9679259424460437,0.0,0.436903
77,241.2705035971223,0.0729268776978416,1.0,0.7915186258992815,0.0,0.439279
78,237.40863309352517,0.09891805755395684,1.0,0.6624114676258992,0.0,0.4421718417266187
79,233.53597122302162,0.1252283669064746,1.0,0.5689715251798566,0.0,0.4454708201438849
80,229.61870503597126,0.15220551079136663,1.0,0.5126526330935257,0.0,0.4492029064748201
81,225.77050359712229,0.19054104316546777,1.0,0.5887515827338132,0.0,0.45389706474820146
82,221.8841726618705,0.22079889208633086,1.0,0.499602287769785,0.0,0.4589661510791367
83,217.96690647482015,0.23758277697841726,0.9639854964028776,0.2794639640287768,0.03601450359712245,0.464219237410072
84,214.0496402877698,0.2180598345323741,0.7411457553956837,0.05452955395683473,0.25885424460431633,0.4690531438848921
85,210.18633093525176,0.19880559712230206,0.6757466618705035,0.0,0.32425333812949647,0.47351420863309357
86,206.31510791366907,0.17951194964028785,0.6564651223021584,0.0,0.3435348776978416,0.47767894964028773
87,202.3978417266187,0.15998900719424472,0.6293875539568348,0.0,0.3706124460431653,0.48152000719424454
88,198.48057553956835,0.16271025179856113,0.8795748201438842,0.04158046043165456,0.12042517985611584,0.48545641726618705
89,194.60215827338132,0.17494041007194228,1.0,0.15244025899280422,0.0,0.489666345323741
90,190.74604316546763,0.194158820143885,1.0,0.29337071223021577,0.0,0.49417068345323745
91,186.82877697841727,0.2136817625899281,1.0,0.27754282014388487,0.0,0.49910430215827334
92,182.91151079136694,0.23320470503597107,1.0,0.26108576258992816,0.0,0.5044071223021582
93,179.0179856115108,0.2526091798561151,1.0,0.24428828776978417,0.0,0.5100052517985612
94,175.17194244604318,0.27177671942446036,1.0,0.22725815107913674,0.0,0.5159310071942446
95,171.25971223021583,0.2912745323741007,1.0,0.2178673237410072,0.0,0.5223220575539568
96,167.3424460431655,0.3107974748201438,1.0,0.20823023741007202,0.0,0.5290115035971222
97,163.43381294964033,0.3302774244604315,1.0,0.19771338129496413,0.0,0.5359982230215826
98,159.58776978417268,0.3494456762589927,1.0,0.18624077697841732,0.0,0.5434168129496402
99,155.69064748201444,0.36886830215827315,1.0,0.1791083669064749,0.0,0.551194489208633
100,151.77338129496403,0.3883912446043166,1.0,0.17316727338129495,0.0,0.5592705611510791
101,147.85611510791367,0.40791418705035976,1.0,0.1660848561151079,0.0,0.5676905467625899
102,144.00359712230218,0.4271140359712228,1.0,0.15784992086330943,0.0,0.5765579424460431
103,140.12158273381294,0.446461071942446,1.0,0.15192239568345323,0.0,0.5857225971223021
104,136.21151079136692,0.46594811510791356,1.0,0.1480239712230216,0.0,0.5951843597122302
105,132.36546762589927,0.485115654676259,1.0,0.14105408633093527,0.0,0.6050879208633093
106,128.4697841726619,0.5045308992805754,1.0,0.13702588489208636,0.0,0.6153404532374099
107,124.55251798561154,0.5240538417266185,1.0,0.13383500000000004,0.0,0.6258913812949639
108,120.63525179856113,0.543576784172662,1.0,0.12957799999999997,0.0,0.6367963381294964
109,116.7812949640288,0.5627844460431654,1.0,0.1242187841726619,0.0,0.648138762589928
110,112.90071942446042,0.5821246690647482,1.0,0.12045773381294964,0.0,0.6597782877697842
111,108.98345323741007,0.6016476115107914,1.0,0.11842894964028777,0.0,0.6717158417266187
112,105.0661870503597,0.6211705539568345,1.0,0.11512420143884891,0.0,0.6841136330935252
113,101.19712230215829,0.642615287769784,1.0,0.11968399999999998,0.0,0.6968994460431654
114,97.33165467625903,0.6668171942446041,1.0,0.1317842733812948,0.0,0.7100743453237409
115,93.41438848920866,0.6959239064748199,1.0,0.15397594244604307,0.0,0.7237926115107912
116,89.49712230215832,0.7247225035971221,1.0,0.15081369784172668,0.0,0.7381506187050358
117,85.61294964028775,0.7536393309352519,1.0,0.14530544604316545,0.0,0.7529524820143886
118,81.76258992805754,0.7767870071942443,0.9814419999999989,0.1356217266187047,0.018558000000001053,0.7680467122302159
119,77.84532374100723,0.7075696258992812,0.6752350000000029,0.03467021582733906,0.32476499999999714,0.7814729640287769
120,73.92805755395683,0.6019952661870502,0.36443264028776956,0.0,0.6355673597122304,0.7928019136690647
121,70.02877697841728,0.4808994532374105,0.1078276330935255,0.0,0.8921723669064745,0.8023165467625899
122,66.18273381294964,0.37015192805755404,0.018761820143884958,0.0,0.9812381798561151,0.809708071942446
123,62.27625899280577,0.3982473381294962,0.6064006115107884,0.28807588489208485,0.3935993884892116,0.8182502158273381
124,58.35899280575544,0.45066320863309295,1.0,0.4528945827338135,0.0,0.8275885035971222
125,54.444604316546794,0.5019572517985609,1.0,0.39753151798561226,0.0,0.8377052230215826
126,50.598561151079174,0.5406477338129493,1.0,0.2992373381294973,0.0,0.8487739928057553
127,46.7071942446043,0.5795643812949642,1.0,0.2546073741007194,0.0,0.8604800143884893
128,42.80647482014388,0.617538201438849,1.0,0.23637261870503595,0.0,0.8727553597122303
129,38.960431654676306,0.6519695467625894,1.0,0.20402810791366946,0.0,0.8857086906474818
130,35.055395683453234,0.679344762589928,1.0,0.16389241726618708,0.0,0.8992124244604316
131,31.138129496402904,0.7052568201438847,1.0,0.1379210935251799,0.0,0.9131118776978416
132,27.222302158273397,0.7315413741007193,1.0,0.13468102877697818,0.0,0.9274165251798561
133,23.376258992805774,0.7759118920863306,1.0,0.19527045323740974,0.0,0.9428370215827337
134,19.486330935251825,0.8288118776978413,1.0,0.23968127338129472,0.0,0.95917690647482
135,15.56906474820142,0.8931996043165472,1.0,0.2818167050359715,0.0,0.9765645179856116
136,11.65179856115111,0.9805204532374093,1.0,0.35293502877697785,0.0,0.9957163884892084
137,7.792086330935239,0.9988450431654676,1.0,0.363607309352518,0.0,0.9997419280575539
138,3.917266187050353,1.0,1.0,0.5024891223021588,0.0,1.0
139,0.0,1.0,1.0,0.851655,0.0,1.0
