t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
39,0.01,0.01,0.3930027592594756,0.039300275925947564,0.2892577250035988,0.24995744907765124,0.24995744907765124,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,39
40,0.01,0.01,0.2629250909007767,0.026292509090077673,0.3318845065774938,0.3055919974874161,0.3055919974874161,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,40
41,0.01,0.01,0.6590934106009526,0.06590934106009527,0.2950976145668828,0.22918827350678755,0.22918827350678755,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,41
42,0.01,0.01,0.5362194721950767,0.05362194721950767,0.2554824176271791,0.20186047040767144,0.20186047040767144,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,42
43,0.01,0.01,0.4100922532561573,0.04100922532561573,0.2092126732869899,0.16820344796137415,0.16820344796137415,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,43
44,0.01,0.01,0.01,0.0010000000000000002,0.2619933749106889,0.2609933749106889,0.2609933749106889,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,44
45,0.01,0.01,0.01,0.0010000000000000002,0.2359839207937278,0.2349839207937278,0.2349839207937278,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,45
46,0.01,0.01,0.01,0.0010000000000000002,0.1212359304711639,0.1202359304711639,0.1202359304711639,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,46
47,0.01,0.01,0.01,0.0010000000000000002,0.1113222842321568,0.1103222842321568,0.1103222842321568,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,47
48,0.01,0.01,0.01,0.0010000000000000002,0.0981237618915767,0.0971237618915767,0.0971237618915767,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,48
49,0.01,0.01,0.01,0.0010000000000000002,0.0262912987494881,0.0252912987494881,0.0252912987494881,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,49
50,0.01,0.01,0.01,0.0010000000000000002,0.0262194682521852,0.025219468252185198,0.025219468252185198,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,50
51,0.01,0.01,0.01,0.0010000000000000002,0.1207901805818379,0.1197901805818379,0.1197901805818379,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,51
52,0.01,0.01,0.01,0.0010000000000000002,0.0404224534311977,0.0394224534311977,0.0394224534311977,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,52
53,0.01,0.01,0.01,0.0010000000000000002,0.0297923262902829,0.0287923262902829,0.0287923262902829,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,53
54,0.01,0.01,0.01,0.0010000000000000002,0.1477661168918686,0.1467661168918686,0.1467661168918686,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,54
55,0.01,0.01,0.01,0.0010000000000000002,0.148877087734587,0.147877087734587,0.147877087734587,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,55
56,0.01,0.01,0.01,0.0010000000000000002,0.1383483954126435,0.1373483954126435,0.1373483954126435,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,56
57,0.01,0.01,0.01,0.0010000000000000002,0.0279680972582973,0.0269680972582973,0.0269680972582973,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,57
58,0.01,0.01,0.01,0.0010000000000000002,0.0205281380904994,0.0195281380904994,0.0195281380904994,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,58
59,0.01,0.01,0.01,0.0010000000000000002,0.025963858370185,0.024963858370185,0.024963858370185,0.0,0.0,1.990365908115645,real,0.0,0.05606593928830241,0,1000.0,0.9,True,59
60,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,1.870365908115645,real,-0.12,0.05606593928830241,0,1000.0,0.9,True,60
61,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,1.750365908115645,real,-0.12,0.05606593928830241,0,1000.0,0.9,True,61
62,0.01,0.01,0.01,0.0010000000000000002,0.0,0.0,0.0,0.0,1.0,1.6303659081156452,real,-0.12,0.05606593928830241,0,1000.0,0.9,True,62
63,0.01,0.01,0.01,0.0010000000000000002,0.0859446059571729,0.0849446059571729,0.0849446059571729,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,63
64,0.01,0.01,0.0752314653881854,0.007523146538818541,0.0936658587685052,0.08614271222968665,0.08614271222968665,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,64
65,0.01,0.01,0.01,0.0010000000000000002,0.0718814759258734,0.0708814759258734,0.0708814759258734,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,65
66,0.01,0.01,0.01,0.0010000000000000002,0.0802358933067548,0.0792358933067548,0.0792358933067548,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,66
67,0.01,0.01,0.01,0.0010000000000000002,0.1624036716245328,0.1614036716245328,0.1614036716245328,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,67
68,0.01,0.01,0.20757822524019,0.020757822524019004,0.1492248811156505,0.1284670585916315,0.1284670585916315,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,68
69,0.01,0.01,0.2186806370830467,0.021868063708304672,0.1292141167876595,0.10734605307935484,0.10734605307935484,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,69
70,0.01,0.01,0.3566665239268529,0.035666652392685294,0.1760802233784853,0.1404135709858,0.1404135709858,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,70
71,0.01,0.01,0.6568151084534772,0.06568151084534772,0.1806385923809953,0.11495708153564758,0.11495708153564758,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,71
72,0.01,0.01,0.7322146023185124,0.07322146023185123,0.1709296531174661,0.09770819288561487,0.09770819288561487,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,72
73,0.01,0.01,0.621931415494341,0.062193141549434096,0.192181597213463,0.12998845566402892,0.12998845566402892,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,73
74,0.01,0.01,0.5349425551226716,0.053494255512267164,0.282433636725203,0.22893938121293583,0.22893938121293583,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,74
75,0.01,0.01,0.8742816136163049,0.0874281613616305,0.2912679863925478,0.2038398250309173,0.2038398250309173,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,75
76,0.01,0.01,0.99,0.099,0.3214378714895815,0.22243787148958147,0.22243787148958147,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,76
77,0.01,0.01,0.969178289343757,0.09691782893437571,0.3614268155873606,0.2645089866529849,0.2645089866529849,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,77
78,0.01,0.01,0.6349585439110145,0.06349585439110145,0.3633811580792954,0.29988530368819394,0.29988530368819394,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,78
79,0.01,0.01,0.8265125732029938,0.08265125732029938,0.181855640507953,0.09920438318765362,0.09920438318765362,0.0,0.0,1.6303659081156452,real,0.0,0.05606593928830241,0,1000.0,0.9,True,79
80,0.01,0.01,0.7786430006570915,0.07786430006570914,0.1374729754058826,0.05960867534017346,0.05960867534017346,0.0,0.08134524513558372,1.620604478699375,real,-0.009761429416270007,0.05606593928830241,0,1000.0,0.9,True,80
81,0.01,0.01,0.8956538164454645,0.08956538164454646,0.132850803053511,0.04328542140896453,0.04328542140896453,0.0,0.42006047250533163,1.5701972219987352,real,-0.050407256700639835,0.05606593928830241,0,1000.0,0.9,True,81
82,0.01,0.01,0.8501955271865964,0.08501955271865964,0.1498486025987754,0.06482904988011574,0.06482904988011574,0.0,0.08497684998945265,1.560000000000001,real,-0.010197221998734296,0.05606593928830241,0,1000.0,0.9,True,82
83,0.01,0.01,0.633309297633137,0.06333092976331371,0.458334257432483,0.3950033276691693,0.3950033276691693,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,83
84,0.01,0.01,0.01,0.0010000000000000002,0.5949631096369925,0.5939631096369925,0.5939631096369925,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,84
85,0.01,0.01,0.01,0.0010000000000000002,0.5856776913889936,0.5846776913889936,0.5846776913889936,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,85
86,0.01,0.01,0.01,0.0010000000000000002,0.5532242774472859,0.5522242774472859,0.5522242774472859,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,86
87,0.01,0.01,0.01,0.0010000000000000002,0.8558592535555002,0.8548592535555002,0.8548592535555002,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,87
88,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,88
89,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,89
90,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,90
91,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,91
92,0.01,0.01,0.01,0.0010000000000000002,1.0,0.999,0.999,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,92
93,0.01,0.01,0.01,0.0010000000000000002,0.6807628353130994,0.6797628353130994,0.6797628353130994,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,93
94,0.01,0.01,0.01,0.0010000000000000002,0.5030704177107655,0.5020704177107655,0.5020704177107655,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,94
95,0.01,0.01,0.01,0.0010000000000000002,0.4694682504084855,0.4684682504084855,0.4684682504084855,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,95
96,0.01,0.01,0.01,0.0010000000000000002,0.4564540684327019,0.4554540684327019,0.4554540684327019,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,96
97,0.01,0.01,0.01,0.0010000000000000002,0.4207927767868599,0.4197927767868599,0.4197927767868599,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,97
98,0.01,0.01,0.01,0.0010000000000000002,0.5383105080865747,0.5373105080865747,0.5373105080865747,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,98
99,0.01,0.01,0.01,0.0010000000000000002,0.6426442637612112,0.6416442637612112,0.6416442637612112,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,99
100,0.01,0.01,0.01,0.0010000000000000002,0.6402961688726728,0.6392961688726728,0.6392961688726728,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,100
101,0.01,0.01,0.01,0.0010000000000000002,0.641916306064682,0.640916306064682,0.640916306064682,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,101
102,0.01,0.01,0.01,0.0010000000000000002,0.8683506354038995,0.8673506354038995,0.8673506354038995,0.0,0.0,1.560000000000001,real,0.0,0.05606593928830241,0,1000.0,0.9,True,102
