t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
26,0.99,0.4168453891056369,0.01,4.126769352145805,0.1370069625859185,0.0,0.0,0.0,1.0,28.85877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,26
27,0.99,0.4213396725351932,0.01,4.171262758098413,0.1374500134639522,0.0,0.0,0.0,1.0,28.73877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,27
28,0.9807809111300942,0.4263410715219847,0.01,4.181471845795128,0.1379013884813874,0.0,0.0,0.0,1.0,28.61877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,28
29,0.99,0.4310612232821051,0.01,4.267506110492841,0.1382293035000265,0.0,0.0,0.0,1.0,28.49877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,29
30,0.9753405657352532,0.4189646826203268,0.01,4.086332505700004,0.1385678989713016,0.0,0.0,0.0,1.0,28.37877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,30
31,0.1948439446772165,0.4068581822193257,0.01,0.7927385314781518,0.1392552222771702,0.0,0.0,0.0,1.0,28.25877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,31
32,0.99,0.3863729143661468,0.01,3.8250918522248534,0.1397512582549792,0.0,0.0,0.0,1.0,28.13877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,32
33,0.99,0.3815124681322347,0.01,3.7769734345091237,0.1401153087459698,0.0,0.0,0.0,1.0,28.01877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,33
34,0.99,0.391572794424935,0.01,3.876570664806856,0.1401205976368822,0.0,0.0,0.0,1.0,27.89877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,34
35,0.3335276976787303,0.4101506798311155,0.01,1.3679661194543802,0.1404145478888669,0.0,0.0,0.0,1.0,27.77877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,35
36,0.8464748678109635,0.4209062026285991,0.01,3.5628652223085804,0.1407749926875299,0.0,0.0,0.0,1.0,27.658771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,36
37,0.99,0.4439012958831732,0.01,4.394622829243414,0.1409968181664408,0.0,0.0,0.0,1.0,27.53877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,37
38,0.99,0.4688503170060021,0.01,4.64161813835942,0.1412104632228268,0.0,0.0,0.0,1.0,27.41877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,38
39,0.1103771447152726,0.4951353609313355,0.01,0.5465162738716676,0.1418094202319421,0.0,0.0,0.0,1.0,27.298771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,39
40,0.99,0.5388096857823099,0.01,5.3342158892448674,0.1422169942703117,0.0,0.0,0.0,1.0,27.17877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,40
41,0.99,0.5893657241945477,0.01,5.834720669526022,0.1423654627548653,0.0,0.0,0.0,1.0,27.05877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,41
42,0.8490637242287673,0.6320825346474297,0.01,5.366783508877056,0.1425793045049658,0.0,0.0,0.0,1.0,26.93877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,42
43,0.5724163859660976,0.6687917552731885,0.01,3.8282735951740134,0.142978340549817,0.0,0.0,0.0,1.0,26.818771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,43
44,0.416170376002256,0.7022872371011863,0.01,2.922711435259862,0.1436302438980963,0.0,0.0,0.0,1.0,26.698771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,44
45,0.99,0.7404295870022695,0.01,7.330252911322468,0.1438143673183509,0.0,0.0,0.0,1.0,26.57877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,45
46,0.01,0.7560781309482374,0.01,0.07560781309482374,0.1445517418291842,0.06894392873436046,0.06894392873436046,0.0,0.0,26.57877137273399,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,46
47,0.99,0.7606634387072632,0.01,7.530568043201905,0.1449184529418125,0.0,0.0,0.0,1.0,26.458771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,47
48,0.99,0.7815738026520649,0.01,7.737580646255442,0.1450669465988799,0.0,0.0,0.0,1.0,26.338771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,48
49,0.0822415785162373,0.7869621590354907,0.01,0.6472101019162494,0.1456129382377215,0.0,0.0,0.0,1.0,26.21877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,49
50,0.6182851679011069,0.7721982975395643,0.01,4.7743875404719835,0.1463242575617367,0.0,0.0,0.0,1.0,26.09877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,50
51,0.99,0.7539946779832578,0.01,7.464547312034252,0.1467396794469974,0.0,0.0,0.0,1.0,25.978771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,51
52,0.64026325135347,0.7251987890303269,0.01,4.643181345421562,0.1473109099069436,0.0,0.0,0.0,1.0,25.858771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,52
53,0.99,0.6993244213089036,0.01,6.923311770958146,0.1477098612147853,0.0,0.0,0.0,1.0,25.738771372733986,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,53
54,0.8726451502661496,0.6736729504027876,0.01,5.87877433034481,0.1481639722406457,0.0,0.0,0.0,1.0,25.61877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,54
55,0.3080028116796571,0.6214903602437796,0.01,1.914207783868871,0.148917799923212,0.0,0.0,0.0,1.0,25.498771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,55
56,0.99,0.5580658430571047,0.01,5.524851846265336,0.1495345607282711,0.0,0.0,0.0,1.0,25.378771372733986,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,56
57,0.99,0.5056183260800011,0.01,5.00562142819201,0.1497769831351164,0.0,0.0,0.0,1.0,25.25877137273399,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,57
58,0.01,0.4449590761345563,0.01,0.044495907613455635,0.1507344694585086,0.10623856184505297,0.10623856184505297,0.0,0.0,25.25877137273399,real,0.0,-0.04634210756667259,0,1000.0,0.9,True,58
59,0.99,0.3989374936841995,0.01,3.9494811874735753,0.1510100528006564,0.0,0.0,0.0,1.0,25.138771372733988,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,59
60,0.2283917418500001,0.3499556263195766,0.01,0.7992697506533585,0.1516198338119894,0.0,0.0,0.0,1.0,25.018771372733987,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,60
61,0.99,0.3067363788993377,0.01,3.0366901511034436,0.1521675105999315,0.0,0.0,0.0,1.0,24.898771372733986,real,-0.1200000000000001,-0.04634210756667259,0,1000.0,0.9,True,61
