t,O,R,I,demand,Cap,Sigma,S,C,delta_C,V,intervention,threshold_hit
31,0.731,0.681,0.7110000000000001,1.3239999999999998,0.7786759662000001,0.5453240337999997,1.0440554854041746,1.1079770352985263,0.05739039592739492,0.8688671884697055,none,0
32,0.732,0.682,0.7120000000000001,1.3279999999999998,0.7819844736000001,0.5460155263999997,1.0668556178080912,1.166448487190519,0.058471451891992654,0.8813811579181039,none,0
33,0.733,0.683,0.7130000000000001,1.3319999999999999,0.7853023354000002,0.5466976645999997,1.0892543186199293,1.225971503871762,0.059523016681243046,0.8941105852443525,none,0
34,0.734,0.684,0.7140000000000001,1.3359999999999999,0.7886295648000002,0.5473704351999996,1.1112588670635308,1.286517178376215,0.06054567450445303,0.9070496963152432,none,0
35,0.735,0.685,0.7150000000000001,1.3399999999999999,0.7919661750000002,0.5480338249999996,1.13287639572226,1.3480571762276696,0.061539997851454586,0.9201928314955341,none,0
36,0.736,0.686,0.7160000000000001,1.3439999999999999,0.7953121792000002,0.5486878207999997,1.154113893471815,1.4105637239548403,0.06250654772717068,0.9335344433509682,none,0
37,0.737,0.687,0.7170000000000001,1.3479999999999999,0.7986675906000003,0.5493324093999996,1.1749782083543785,1.4740095978363288,0.06344587388148848,0.9470690943972659,none,0
38,0.738,0.6880000000000001,0.7180000000000001,1.3519999999999999,0.8020324224000003,0.5499675775999996,1.1954760503952908,1.5383681128708646,0.06435851503453582,0.9607914548941732,none,0
39,0.739,0.6890000000000001,0.7190000000000001,1.3559999999999999,0.8054066878000002,0.5505933121999996,1.2156139943633848,1.6036131119683135,0.06524499909744885,0.9746963006836629,none,0
40,0.74,0.6900000000000001,0.7200000000000001,1.3599999999999999,0.8087904000000002,0.5512095999999996,1.235398482476117,1.6697189553570388,0.06610584338872538,0.988778511071408,none,0
41,0.741,0.6910000000000001,0.7210000000000001,1.3639999999999999,0.8121835722000003,0.5518164277999996,1.2548358270505948,1.7366605102032893,0.06694155484625042,1.0,none,0
42,0.742,0.6920000000000001,0.7220000000000001,1.3679999999999999,0.8155862176000003,0.5524137823999996,1.2739322131015829,1.8044131404383679,0.0677526302350786,1.0,none,0
43,0.743,0.6930000000000001,0.7230000000000001,1.3719999999999999,0.8189983494000002,0.5530016505999997,1.2926937008875512,1.8729526967894292,0.06853955635106135,1.0,none,0
44,0.744,0.6940000000000001,0.7240000000000001,1.376,0.8224199808000001,0.5535800191999998,1.3111262284058003,1.9422555070098302,0.06930281022040097,1.0,none,0
45,0.745,0.6950000000000001,0.7250000000000001,1.38,0.8258511250000004,0.5541488749999995,1.3292356138376842,2.012298366305042,0.07004285929521203,1.0,none,0
46,0.746,0.6960000000000001,0.7260000000000001,1.384,0.8292917952000003,0.5547082047999996,1.3470275579449305,2.0830585279502127,0.07076016164517052,1.0,none,0
47,0.747,0.6970000000000001,0.7270000000000001,1.388,0.8327420046000004,0.5552579953999995,1.3645076464180317,2.1545136940955434,0.07145516614533065,1.0,none,0
48,0.748,0.6980000000000001,0.7280000000000001,1.392,0.8362017664000002,0.5557982335999997,1.381681352177671,2.226642006755726,0.07212831266018283,1.0,none,0
49,0.749,0.6990000000000001,0.7290000000000001,1.396,0.8396710938000004,0.5563289061999995,1.3985540376301173,2.299422038979755,0.07278003222402862,1.0,none,0
50,0.75,0.7000000000000001,0.7300000000000001,1.4,0.8431500000000003,0.5568499999999996,1.415130956877515,2.372832786197507,0.07341074721775209,1.0,none,0
51,0.751,0.7010000000000001,0.7310000000000001,1.404,0.8466384982000001,0.5573615017999998,1.4314172578839646,2.4468536577395574,0.0740208715420505,1.0,none,0
52,0.752,0.7020000000000001,0.7320000000000001,1.408,0.8501366016000003,0.5578633983999997,1.447417984598285,2.521464468526757,0.07461081078719944,1.0,none,0
53,0.753,0.7030000000000001,0.7330000000000001,1.412,0.8536443234000003,0.5583556765999996,1.4631380790343194,2.596645430926182,0.07518096239942507,1.0,none,0
54,0.754,0.7040000000000001,0.7340000000000001,1.416,0.8571616768000002,0.5588383231999997,1.478582383309633,2.672377146770129,0.075731715843947,1.0,none,0
55,0.755,0.7050000000000001,0.7350000000000001,1.42,0.8606886750000002,0.5593113249999997,1.4937556416434403,2.748640599534885,0.07626345276475588,1.0,none,0
56,0.756,0.7060000000000001,0.7360000000000001,1.424,0.8642253312000003,0.5597746687999996,1.5086625023145714,2.8254171466760845,0.07677654714119964,1.0,none,0
57,0.757,0.7070000000000001,0.7370000000000001,1.428,0.8677716586000003,0.5602283413999997,1.5233075195802799,2.9026885121175208,0.07727136544143631,1.0,none,0
58,0.758,0.7080000000000001,0.7380000000000001,1.432,0.8713276704000003,0.5606723295999997,1.5376951555566742,2.9804367788903336,0.07774826677281288,1.0,none,0
59,0.759,0.7090000000000001,0.7390000000000001,1.436,0.8748933798000003,0.5611066201999997,1.5518297820615408,3.0586443819195743,0.07820760302924068,1.0,none,0
