t,O,R,I,demand,cases,deaths,popData2019,S
2020-06-01,3.331193199577546,-0.020223363983042475,0.013902910065789253,23.44721352,49,22,11455519.0,23.44721352
2020-06-02,3.2898966618287444,-0.027155610419606457,0.013936540958638943,23.16787218,59,21,11455519.0,23.16787218
2020-06-03,3.241027584517641,-0.026999939766767067,0.012181049962499246,20.91568265,183,23,11455519.0,20.91568265
2020-06-04,3.1938390415186526,-0.02572338876020641,0.012313364965083728,19.96417622,159,20,11455519.0,19.96417622
2020-06-05,3.138601170572078,-0.01198804214010174,0.012228357525199574,17.99132802,172,14,11455519.0,17.99132802
2020-06-06,3.096014849750017,-0.01859472513900773,0.012860572029266937,18.88172854,154,12,11455519.0,18.88172854
2020-06-07,3.0561420717791874,-0.015081571023320972,0.015404167055850904,18.06116336,69,11,11455519.0,18.06116336
2020-06-08,3.0170128499714415,-0.012761383385102132,0.016916120670585677,17.58977485,53,12,11455519.0,17.58977485
2020-06-09,2.978041850839701,-0.009720896349392216,0.018745007691339577,17.39772768,153,9,11455519.0,17.39772768
2020-06-10,2.9416928967638825,-0.006158167550961657,0.0214320588480843,15.99229158,145,12,11455519.0,15.99229158
2020-06-11,2.9074393151799542,-0.004212910016721416,0.022571655818663272,15.49471482,119,12,11455519.0,15.49471482
2020-06-12,2.8824604425329596,-0.012133357348442786,0.02393862410407288,14.94476156,95,7,11455519.0,14.94476156
2020-06-13,2.8448647862593064,0.007170735961786523,0.02836938505092923,14.28132588,89,10,11455519.0,14.28132588
2020-06-14,2.8069495294503217,0.012264666002638425,0.023838589317096925,13.61789021,49,5,11455519.0,13.61789021
2020-06-15,2.771584181268472,0.00969644228371358,0.023730434883028506,13.5131372,22,3,11455519.0,13.5131372
2020-06-16,2.735363283327724,0.009010348738512253,0.023730434883028506,13.27744295,147,8,11455519.0,13.27744295
2020-06-17,2.7179815529230162,-0.013276835751343086,0.023766279354186404,14.04563163,99,7,11455519.0,14.04563163
2020-06-18,2.6977077711045525,-0.012213671358340505,0.019920287138089465,13.31236062,123,7,11455519.0,13.31236062
2020-06-19,2.6791065389172615,-0.01653797045016603,0.014538934294954453,12.99810161,108,5,11455519.0,12.99810161
2020-06-20,2.660758045817871,-0.025019425441775045,0.016030074300326325,12.43941894,121,4,11455519.0,12.43941894
2020-06-21,2.6456549231230015,-0.03430045115252067,0.015507195018739761,12.15134818,50,3,11455519.0,12.15134818
2020-06-22,2.6297661046941907,-0.03389140550497105,0.014300964519214476,11.98548927,20,9,11455519.0,11.98548927
2020-06-23,2.613011508997416,-0.03126967909876699,0.014188149910095094,11.69741851,143,12,11455519.0,11.69741851
2020-06-24,2.5877846973455836,-0.021197182483611243,0.01288387972926941,11.61012434,110,4,11455519.0,11.61012434
2020-06-25,2.5661917268609407,-0.025423960658449207,0.012202583481889517,11.30459475,100,3,11455519.0,11.30459475
2020-06-26,2.545831716472143,-0.023905339571139272,0.010403257712526814,11.13873584,76,5,11455519.0,11.13873584
2020-06-27,2.5293248213801727,-0.024738022262773995,0.009411922313368626,10.97287692,113,2,11455519.0,10.97287692
2020-06-28,2.5183914797544475,-0.030413767185811125,0.007851532154528496,11.18238292,41,8,11455519.0,11.18238292
2020-06-29,2.5084499629220103,-0.03136025145103849,0.006871581541116889,11.11254759,24,5,11455519.0,11.11254759
2020-06-30,2.5019190409717544,-0.03855188557969624,0.0075059488133326635,11.13000642,127,3,11455519.0,11.13000642
2020-07-01,2.4943025496980615,-0.040412318881353215,0.007835254067037223,10.95541808,100,8,11455519.0,10.95541808
2020-07-02,2.4902942239566896,-0.047204881231409423,0.009041484566562508,10.9641475,135,2,11455519.0,10.9641475
2020-07-03,2.489469979517558,-0.048087851445186125,0.010346435418209454,11.0689005,93,5,11455519.0,11.0689005
2020-07-04,2.4890527425726114,-0.040812312451498745,0.010945769330979571,10.93795925,94,2,11455519.0,10.93795925
2020-07-05,2.4833086750910054,-0.03375693240768207,0.010811787529619643,10.702265,64,3,11455519.0,10.702265
2020-07-06,2.4798700728745757,-0.035611508253313495,0.011425062434105682,10.82447683,24,2,11455519.0,10.82447683
2020-07-07,2.476646942314759,-0.034436846043962355,0.011859614284051911,10.8593945,112,1,11455519.0,10.8593945
2020-07-08,2.472197376577862,-0.03085170209297683,0.011167336250985205,10.58878258,99,3,11455519.0,10.58878258
2020-07-09,2.466454907244529,-0.02387375778212819,0.009802484098525799,10.49275899,137,1,11455519.0,10.49275899
2020-07-10,2.4634265116323086,-0.028258868848103802,0.00818276239536142,10.81574741,124,2,11455519.0,10.81574741
2020-07-11,2.466934776942185,-0.04126372185119509,0.007207162884851126,11.23475942,127,0,11455519.0,11.23475942
2020-07-12,2.474711629156598,-0.04441715470982999,0.007339063898784026,11.35697126,62,2,11455519.0,11.35697126
2020-07-13,2.483108042198814,-0.044189536103514726,0.007339063898784026,11.54028901,43,4,11455519.0,11.54028901
2020-07-14,2.4929602746279955,-0.03665354660190978,0.0073232730042784855,11.70614793,224,0,11455519.0,11.70614793
2020-07-15,2.5153264225753764,-0.04119390405896661,0.00783714830928961,12.55290136,207,3,11455519.0,12.55290136
2020-07-16,2.548402277960139,-0.05251336238764015,0.00740464399875429,13.48694895,260,5,11455519.0,13.48694895
