t,O,R,I,Cap,demand,demande_env,Sigma,S,V,C,perturb_symbolic,intervention,delta_C,threshold_value,threshold_hit
17,0.587238601901853,0.6920087948915169,0.7412158882217259,301.2110708370308,285.65705490422823,285.65705490422823,0.0,0.1502255432747739,1.0,-1.0597532234368452,0.0,none,-0.059909782690090396,-0.030783209563645837,0
18,0.5840914491609726,0.693775058514762,0.7421460252387526,300.7384083821943,269.90242391962056,269.90242391962056,0.0,0.14992509218822433,1.0,-1.1197831865615555,0.0,none,-0.06002996312471032,-0.030783209563645837,0
19,0.5820781192910184,0.6962894357417082,0.7396225492518634,299.7652066341148,274.3773501372321,274.3773501372321,0.0,0.14962524200384789,1.0,-1.1799330897600164,0.0,none,-0.06014990319846092,-0.030783209563645837,0
20,0.5846818552834238,0.6930900971656052,0.739017513570897,299.4773908247334,258.9434691558517,258.9434691558517,0.0,0.1493259915198402,1.0,-1.2402026931520802,0.0,none,-0.060269603392063775,-0.030783209563645837,0
21,0.5851699634994956,0.6961188474269545,0.7430646256292414,302.68577063184046,257.88552517742977,257.88552517742977,0.0,0.1490273395368005,1.0,-1.3005917573373602,0.0,none,-0.060389064185280006,-0.030783209563645837,0
22,0.5840200654880534,0.6975259376136164,0.7462233709334278,303.98837567437363,277.04670287535106,277.04670287535106,0.0,0.1487292848577269,1.0,-1.3611000433942695,0.0,none,-0.06050828605690928,-0.030783209563645837,0
23,0.582527761492872,0.6981202006328913,0.7461901325314662,303.45642273753646,271.4414668326722,271.4414668326722,0.0,0.14843182628801146,1.0,-1.421727312879065,0.0,none,-0.060627269484795576,-0.030783209563645837,0
24,0.5810588192957772,0.6988947201447773,0.7468058917841978,303.27708171097737,272.1879747587461,272.1879747587461,0.0,0.14813496263543544,1.0,-1.482473327824891,0.0,none,-0.06074601494582588,-0.030783209563645837,0
25,0.5806154434163758,0.6963248870036979,0.7458335404499149,301.5382502461185,281.20677474001917,281.20677474001917,0.0,0.14783869271016456,1.0,-1.543337850740825,0.0,none,-0.06086452291593414,-0.030783209563645837,0
26,0.5802343269026438,0.6934454923700216,0.7485024260638176,301.16809371714936,275.363157945832,275.363157945832,0.0,0.14754301532474423,1.0,-1.6043206446109273,0.0,none,-0.06098279387010219,-0.030783209563645837,0
27,0.5844505009598944,0.6935705167088051,0.7475796569057142,303.0371224012385,260.8887778991532,260.8887778991532,0.0,0.14724792929409475,1.0,-1.6654214728932892,0.0,none,-0.06110082828236196,-0.030783209563645837,0
28,0.5870981777000222,0.6987095397347861,0.7459377870312665,305.9919582996718,270.0466648856643,270.0466648856643,0.0,0.14695343343550657,1.0,-1.7266400995190865,0.0,none,-0.061218626625797246,-0.030783209563645837,0
29,0.5882905552973668,0.6970488488639593,0.7453966702972821,305.6627660035345,272.2093157138591,272.2093157138591,0.0,0.14665952656863557,1.0,-1.7879762888916324,0.0,none,-0.061336189372545924,-0.030783209563645837,0
30,0.588674473071951,0.6992384857507608,0.7454408054767099,306.84121217363224,283.76999712329877,283.76999712329877,0.0,0.1463662075154983,1.0,-1.8494298058854333,0.0,none,-0.06145351699380086,-0.030783209563645837,0
31,0.58783469527995,0.6998940828222076,0.7411643542976835,304.9313394318426,262.50057112368137,262.50057112368137,0.0,0.1460734751004673,1.0,-1.9110004158452463,0.0,none,-0.061570609959813005,-0.030783209563645837,0
32,0.5894265221053135,0.6987137840241257,0.7423241841446288,305.71911540233197,279.62393901938646,279.62393901938646,0.0,0.14578132815026637,1.0,-1.9726878845851399,0.0,none,-0.061687468739893614,-0.030783209563645837,0
33,0.5920710798217872,0.700337502143478,0.7443581668449619,308.6478020957735,276.85240989549743,276.85240989549743,0.0,0.14548976549396583,1.0,-2.0344919783875537,0.0,none,-0.061804093802413806,-0.030783209563645837,0
34,0.5906745094686614,0.6988743845880266,0.7433820789643845,306.8735372121562,266.8248877610536,266.8248877610536,0.0,0.1451987859629779,1.0,-2.0964124640023627,0.0,none,-0.06192048561480901,-0.030783209563645837,0
35,0.5895796223044207,0.6986892464850097,0.7438853028785961,306.43086136312485,272.98391711566626,272.98391711566626,0.0,0.14490838839105194,1.0,-2.158449108645942,0.0,none,-0.062036644643579386,-0.030783209563645837,0
36,0.5857322565717141,0.6985446805760039,0.7443359944526505,304.552628681384,283.01492292666455,283.01492292666455,0.0,0.14461857161426983,1.0,-2.220601680000234,0.0,none,-0.062152571354292085,-0.030783209563645837,0
37,0.5868879843629458,0.6972575592037129,0.7428884413324011,303.99892688784956,290.1019604076155,290.1019604076155,0.0,0.1443293344710413,1.0,-2.2828699462118176,0.0,none,-0.062268266211583434,-0.030783209563645837,0
38,0.5884012602709803,0.7009204388491886,0.7471473303948404,308.1403471329903,270.5200286243777,270.5200286243777,0.0,0.1440406758020992,1.0,-2.345253675890978,0.0,none,-0.06238372967916028,-0.030783209563645837,0
39,0.5891717988755352,0.7018367728588627,0.7482665548429641,309.4100416950833,282.9961272587929,282.9961272587929,0.0,0.143752594450495,1.0,-2.40775263811078,0.0,none,-0.06249896221980222,-0.030783209563645837,0
40,0.5895759081493583,0.7021850313473622,0.7452615549607753,308.53185776991774,276.3008205661461,276.3008205661461,0.0,0.14346508926159401,1.0,-2.4703666024061426,0.0,none,-0.06261396429536248,-0.030783209563645837,0
41,0.5880806687473232,0.7024372059585751,0.7443264624406482,307.47362620916687,281.8610916808837,281.8610916808837,0.0,0.14317815908307083,1.0,-2.5330953387729145,0.0,none,-0.0627287363667719,-0.030783209563645837,0
42,0.5897188201666831,0.7030545906885921,0.74495879872928,308.86328794834276,278.75207025888227,278.75207025888227,0.0,0.14289180276490468,1.0,-2.5959386176669526,0.0,none,-0.06284327889403807,-0.030783209563645837,0
43,0.5888232243807586,0.7027255881601265,0.7439675066026656,307.83972797122277,280.2805772275584,280.2805772275584,0.0,0.14260601915937487,1.0,-2.6588962100032028,0.0,none,-0.0629575923362502,-0.030783209563645837,0
44,0.5888514512044426,0.7038881705573442,0.7413102099794694,307.26238546266717,283.90123584164013,283.90123584164013,0.0,0.14232080712105613,1.0,-2.7219678871547806,0.0,none,-0.0630716771515778,-0.030783209563645837,0
45,0.5873260587307411,0.7024196061848037,0.7409153240097459,305.6641270831106,270.4481400028007,270.4481400028007,0.0,0.14203616550681403,1.0,-2.785153420952055,0.0,none,-0.06318553379727465,-0.030783209563645837,0
