t,O,R,I,demand,cases,deaths,popData2019
2020-02-11,0.008691538906919488,-0.0012416484152742132,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-12,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-13,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-14,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-15,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-16,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-17,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-18,0.008691538906919488,-0.0,0.0006208242076371057,0.00872942,0,0,11455519.0
2020-02-19,0.007449890491645275,0.0012416484152742132,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-20,0.006208242076371063,0.0012416484152742114,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-21,0.004966593661096851,0.0012416484152742123,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-22,0.0037249452458226378,0.0012416484152742132,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-23,0.002483296830548425,0.0012416484152742127,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-24,0.0012416484152742125,0.0012416484152742125,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-25,0.0,0.0012416484152742125,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-26,0.0,-0.0,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-27,0.0,-0.0,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-28,0.0,-0.0,0.0006208242076371057,0.0,0,0,11455519.0
2020-02-29,0.0,-0.0,0.0006208242076371057,0.0,0,0,11455519.0
2020-03-01,0.0,-0.0,0.0006208242076371057,0.0,18,0,11455519.0
2020-03-02,0.02084890990665427,-0.02084890990665427,0.0006208242076371061,0.1571295,0,0,11455519.0
2020-03-03,0.04169781981330854,-0.02084890990665427,0.0006208242076371067,0.1571295,19,0,11455519.0
2020-03-04,0.08168255299331499,-0.03998473318000645,0.0012416484152742123,0.32298842,34,0,11455519.0
2020-03-05,0.15058193024023311,-0.06889937724691812,0.0012416484152742125,0.61978859,53,0,11455519.0
2020-03-06,0.25537392611077553,-0.10479199587054241,0.0012416484152742127,1.08244768,81,0,11455519.0
2020-03-07,0.4019272519098884,-0.14655332579911284,0.0012416484152742127,1.78953044,110,0,11455519.0
2020-03-08,0.5907406112489619,-0.18881335933907356,0.011045279160964242,2.74976629,27,0,11455519.0
2020-03-09,0.7674135408359103,-0.17667292958694836,0.02084890990665427,2.98546055,64,0,11455519.0
2020-03-10,0.9628273737018372,-0.19541383286592695,0.03041682154333036,3.54414322,94,1,11455519.0
2020-03-11,1.1628200722821458,-0.19999269858030855,0.054442055213462286,4.3647084,99,0,11455519.0
2020-03-12,1.3552354191772145,-0.19241534689506867,0.08684568655873026,5.22892066,174,3,11455519.0
2020-03-13,1.5429311362060727,-0.18769571702885823,0.06824192904567017,6.74783919,251,1,11455519.0
2020-03-14,1.724443331060485,-0.18151219485441228,0.03609013803008715,8.9389228,338,3,11455519.0
2020-03-15,1.9008314522647445,-0.1763881212042595,0.021172740327513817,11.88946568,179,5,11455519.0
2020-03-16,2.0832957491735384,-0.18246429690879395,0.014822027659817494,13.29490178,214,6,11455519.0
2020-03-17,2.2645650767696934,-0.181269327596155,0.00922359189178748,15.16299698,387,12,11455519.0
2020-03-18,2.4480169841847528,-0.18345190741505935,0.00626629230236278,18.37542236,422,10,11455519.0
2020-03-19,2.6331467796031056,-0.18512979541835284,0.006070214876062602,21.76243608,535,22,11455519.0
2020-03-20,2.811334165644197,-0.1781873860410914,0.005312986648991075,25.97001498,713,33,11455519.0
2020-03-21,2.9805315315632996,-0.16919736591910262,0.005312986648991075,31.48700639,662,35,11455519.0
2020-03-22,3.132350714087761,-0.15181918252446147,0.005457720485999185,36.30564447,469,40,11455519.0
2020-03-23,3.2834453237163244,-0.15109460962856325,0.005653797912299363,40.16404669,486,47,11455519.0
2020-03-24,3.4292383798754176,-0.14579305615909322,0.005653797912299363,43.84786058,1328,78,11455519.0
2020-03-25,3.5798864901287324,-0.15064811025331482,0.006684399404982333,54.61996091,1195,77,11455519.0
2020-03-26,3.730194288441085,-0.15030779831235241,0.007966214749625111,64.18740172,1199,107,11455519.0
2020-03-27,3.8746461156522045,-0.1444518272111197,0.01149810785502503,73.13505394,1363,102,11455519.0
2020-03-28,4.0100883788288515,-0.13544226317664698,0.0159681469965699,82.84216542,1520,128,11455519.0
2020-03-29,4.142353291788127,-0.13226491295927545,0.016877551371227817,93.16033608,845,141,11455519.0
2020-03-30,4.269117035644802,-0.12676374385667533,0.016877551371227817,98.97412767,685,149,11455519.0
2020-03-31,4.389393971224188,-0.12027693557938601,0.0166243662148724,103.08568298,1739,170,11455519.0
2020-04-01,4.494262657773116,-0.10486868654892767,0.014196839167761599,114.88785449,1683,208,11455519.0
2020-04-02,4.589419638175129,-0.09515698040201315,0.011268853617145247,125.89564908,1517,233,11455519.0
2020-04-03,4.6755405663609855,-0.08612092818585637,0.011509850882629014,134.46793637,1479,219,11455519.0
2020-04-04,4.750966229132481,-0.07542566277149554,0.0166243662148724,141.15466964,1694,236,11455519.0
2020-04-05,4.818589446637683,-0.06762321750520162,0.020963625874858227,150.16342778,923,271,11455519.0
2020-04-06,4.881350877913813,-0.06276143127613043,0.024530087517692145,154.126583,667,247,11455519.0
2020-04-07,4.939802432185229,-0.05845155427141613,0.02916544951263167,155.70660744,1937,257,11455519.0
2020-04-08,4.987675896710448,-0.047873464525219234,0.03232084772703692,161.02282227,1515,277,11455519.0
2020-04-09,5.025028188423822,-0.03735229171337373,0.030912690653984942,163.81623565,1599,322,11455519.0
2020-04-10,5.056036855274003,-0.03100866685018122,0.028497611011854218,167.30800237,2240,272,11455519.0
2020-04-11,5.086517146879003,-0.030480291604999543,0.028497611011854218,174.9637009,2336,302,11455519.0
2020-04-12,5.113888486329805,-0.027371339450802168,0.028902344344319708,182.08690501,1032,284,11455519.0
2020-04-13,5.138830766270443,-0.024942279940638024,0.027556130667837575,183.71930595,524,265,11455519.0
2020-04-14,5.161234266958672,-0.022403500688229272,0.022472685583247998,182.31386985,538,277,11455519.0
2020-04-15,5.170458599057121,-0.009224332098448862,0.018909575667746203,171.82984027,1561,261,11455519.0
2020-04-16,5.176357923142468,-0.005899324085346436,0.018982030116540205,170.76485142,1633,280,11455519.0
2020-04-17,5.180102034792974,-0.0037441116505059213,0.019324566213385186,171.77746377,1675,246,11455519.0
2020-04-18,5.178899278185005,0.0012027566079684249,0.019324566213385186,173.48842946,1395,205,11455519.0
2020-04-19,5.169874411647645,0.009024866537360232,0.018594981603822447,170.87833384,722,208,11455519.0
2020-04-20,5.158115631013897,0.011758780633748245,0.016111062222536,169.12372106,444,190,11455519.0
2020-04-21,5.145803851038684,0.012311779975212822,0.014930562834251315,167.17706112,1278,206,11455519.0
2020-04-22,5.136933134380241,0.008870716658442745,0.016983573238999128,161.42437545,1270,203,11455519.0
2020-04-23,5.127051884637681,0.009881249742559994,0.015641733056080298,159.28566833,778,181,11455519.0
2020-04-24,5.10979613788846,0.017255746749221146,0.012090692709422868,152.11881714,976,156,11455519.0
2020-04-25,5.0804484052181555,0.02934773267030444,0.009858454501131764,141.08483431,811,155,11455519.0
2020-04-26,5.039199864092914,0.0412485411252419,0.010499929199863534,127.77247369,388,142,11455519.0
2020-04-27,4.993040307386786,0.0461595567061277,0.010723735661228861,122.15072927,205,154,11455519.0
2020-04-28,4.945257467067016,0.04778284031976998,0.012090692709422868,119.36604531,755,135,11455519.0
2020-04-29,4.904677481641367,0.04057998542564878,0.013305957825749282,121.26032876,569,110,11455519.0
2020-04-30,4.855496400813711,0.04918108082765649,0.014072488031168007,112.60074729,522,107,11455519.0
2020-05-01,4.800101752200653,0.055394648613058095,0.015854634383603017,102.90236523,586,87,11455519.0
2020-05-02,4.741683854592911,0.05841789760774141,0.019069450931918475,93.39603033,237,93,11455519.0
2020-05-03,4.681138840767594,0.060545013825317184,0.015992009834954413,83.28736568,286,75,11455519.0
2020-05-04,4.620369742119524,0.060769098648069786,0.014535082468718485,79.48133996,140,94,11455519.0
2020-05-05,4.558078115165211,0.06229162695431345,0.012510257203580455,76.82759725,670,95,11455519.0
2020-05-06,4.483465445782707,0.07461266938250422,0.010999495142816063,71.52011183,547,81,11455519.0
2020-05-07,4.4063400810094695,0.07712536477323706,0.009242498080834327,65.20874349,552,76,11455519.0
2020-05-08,4.337641582264318,0.06869849874515133,0.00993507459745091,63.23589529,442,71,11455519.0
2020-05-09,4.271888254836117,0.06575332742820095,0.00975870895874742,58.57438672,483,74,11455519.0
2020-05-10,4.21527949034218,0.05660876449393726,0.00774445737014684,55.71113801,240,71,11455519.0
2020-05-11,4.161979556847816,0.05329993349436357,0.006226696966918688,54.41918433,118,72,11455519.0
2020-05-12,4.111498279956484,0.05048127689133253,0.006226696966918688,53.65972506,476,65,11455519.0
2020-05-13,4.064595765885552,0.04690251407093182,0.006226696966918688,51.22421778,395,45,11455519.0
2020-05-14,4.0264840367029215,0.038111729182630505,0.006226696966918688,49.70529925,321,56,11455519.0
2020-05-15,3.987662782684253,0.03882125401866876,0.00763602526843421,47.95068648,305,43,11455519.0
2020-05-16,3.952259576712047,0.03540320597220559,0.0091086109269094,45.49772036,347,45,11455519.0
2020-05-17,3.92681294206052,0.02544663465152741,0.012271564092525722,46.4579562,147,30,11455519.0
2020-05-18,3.9009583950993547,0.02585454696116507,0.013820799122785221,45.24456727,81,31,11455519.0
2020-05-19,3.8754751302642476,0.0254832648351071,0.01517506072799768,44.72953168,317,37,11455519.0
2020-05-20,3.8465372966948825,0.02893783356936508,0.01383546546228609,41.64804755,292,33,11455519.0
2020-05-21,3.8141579979521465,0.03237929874273604,0.012313364965083728,39.42204626,385,30,11455519.0
2020-05-22,3.7815623903412736,0.03259560761087288,0.010523983554883376,37.96423366,70,34,11455519.0
2020-05-23,3.743879592677233,0.03768279766404081,0.008982340250783372,34.71689061,248,41,11455519.0
2020-05-24,3.694826553258942,0.049053039418290645,0.008982340250783372,32.66547766,123,25,11455519.0
2020-05-25,3.6450724449824525,0.04975410827648963,0.008982340250783372,31.6441359,75,33,11455519.0
2020-05-26,3.595266105391379,0.04980633959107372,0.008982340250783372,31.26877097,314,26,11455519.0
2020-05-27,3.5490238953913686,0.046242210000010164,0.008652188215322543,29.85460545,202,24,11455519.0
2020-05-28,3.502418117120492,0.04660577827087664,0.009880992317320203,28.16982801,182,24,11455519.0
2020-05-29,3.454990033105184,0.04742808401530807,0.010375615654855785,26.95643908,171,26,11455519.0
2020-05-30,3.4138874172006184,0.04110261590456554,0.00884785493249618,25.78669722,165,16,11455519.0
2020-05-31,3.3725001983956955,0.04138721880492291,0.00815865649264591,24.19794337,61,23,11455519.0
2020-06-01,3.331193199577546,0.04130699881814959,0.006893452905263109,23.44721352,49,22,11455519.0
2020-06-02,3.2898966618287444,0.04129653774880149,0.005669822331556107,23.16787218,59,21,11455519.0
2020-06-03,3.241027584517641,0.04886907731110357,0.004333866260739283,20.91568265,183,23,11455519.0
2020-06-04,3.1938390415186526,0.047188542998988225,0.0033562297983382727,19.96417622,159,20,11455519.0
2020-06-05,3.138601170572078,0.0552378709465744,0.002883063298849242,17.99132802,172,14,11455519.0
2020-06-06,3.096014849750017,0.042586320822061374,0.002883063298849242,18.88172854,154,12,11455519.0
2020-06-07,3.0561420717791874,0.03987277797082944,0.0036100093845061743,18.06116336,69,11,11455519.0
2020-06-08,3.0170128499714415,0.03912922180774592,0.003112497127560232,17.58977485,53,12,11455519.0
2020-06-09,2.978041850839701,0.0389709991317404,0.002936659343748982,17.39772768,153,9,11455519.0
2020-06-10,2.9416928967638825,0.03634895407581862,0.0022969983417930884,15.99229158,145,12,11455519.0
2020-06-11,2.9074393151799542,0.034253581583928217,0.0022516578137323773,15.49471482,119,12,11455519.0
2020-06-12,2.8824604425329596,0.02497887264699461,0.002149466356940355,14.94476156,95,7,11455519.0
2020-06-13,2.8448647862593064,0.037595656273653244,0.002495332274204065,14.28132588,89,10,11455519.0
2020-06-14,2.8069495294503217,0.037915256808984665,0.002495332274204065,13.61789021,49,5,11455519.0
2020-06-15,2.771584181268472,0.035365348181849665,0.003118683373121378,13.5131372,22,3,11455519.0
2020-06-16,2.735363283327724,0.03622089794074812,0.0026500049090636413,13.27744295,147,8,11455519.0
2020-06-17,2.7179815529230162,0.017381730404707696,0.002253714894489889,14.04563163,99,7,11455519.0
2020-06-18,2.6977077711045525,0.020273781818463732,0.0024378201119088505,13.31236062,123,7,11455519.0
2020-06-19,2.6791065389172615,0.01860123218729104,0.002765184461459791,12.99810161,108,5,11455519.0
2020-06-20,2.660758045817871,0.018348493099390684,0.0032569874084442674,12.43941894,121,4,11455519.0
2020-06-21,2.6456549231230015,0.015103122694869242,0.004240645586854219,12.15134818,50,3,11455519.0
2020-06-22,2.6297661046941907,0.015888818428810847,0.008820737495260467,11.98548927,20,9,11455519.0
2020-06-23,2.613011508997416,0.016754595696774732,0.007130356670889126,11.69741851,143,12,11455519.0
2020-06-24,2.5877846973455836,0.02522681165183238,0.006304620169936381,11.61012434,110,4,11455519.0
2020-06-25,2.5661917268609407,0.021592970484642926,0.004236107977528825,11.30459475,100,3,11455519.0
2020-06-26,2.545831716472143,0.020360010388797534,0.003995189040837843,11.13873584,76,5,11455519.0
2020-06-27,2.5293248213801727,0.016506895091970453,0.002806761608504793,10.97287692,113,2,11455519.0
2020-06-28,2.5183914797544475,0.010933341625725124,0.0022770058829502116,11.18238292,41,8,11455519.0
2020-06-29,2.5084499629220103,0.00994151683243727,0.002451784351581443,11.11254759,24,5,11455519.0
2020-06-30,2.5019190409717544,0.006530921950255841,0.002585329561797245,11.13000642,127,3,11455519.0
2020-07-01,2.4943025496980615,0.007616491273692905,0.0036861507092580403,10.95541808,100,8,11455519.0
2020-07-02,2.4902942239566896,0.004008325741371888,0.004713334381536205,10.9641475,135,2,11455519.0
2020-07-03,2.489469979517558,0.0008242444391317605,0.005209246778180132,11.0689005,93,5,11455519.0
2020-07-04,2.4890527425726114,0.0004172369449464419,0.00594452554832281,10.93795925,94,2,11455519.0
2020-07-05,2.4833086750910054,0.005744067481606052,0.006193316165291396,10.702265,64,3,11455519.0
2020-07-06,2.4798700728745757,0.003438602216429665,0.006534146437770394,10.82447683,24,2,11455519.0
2020-07-07,2.476646942314759,0.0032231305598169335,0.003855105532954095,10.8593945,112,1,11455519.0
2020-07-08,2.472197376577862,0.004449565736896588,0.003359193136310168,10.58878258,99,3,11455519.0
2020-07-09,2.466454907244529,0.005742469333333222,0.002412402019346338,10.49275899,137,1,11455519.0
2020-07-10,2.4634265116323086,0.003028395612220347,0.001970254449096265,10.81574741,124,2,11455519.0
2020-07-11,2.466934776942185,-0.003508265309876357,0.001908548976796709,11.23475942,127,0,11455519.0
2020-07-12,2.474711629156598,-0.007776852214413044,0.0024140307370301706,11.35697126,62,2,11455519.0
2020-07-13,2.483108042198814,-0.008396413042215833,0.002459911521237146,11.54028901,43,4,11455519.0
2020-07-14,2.4929602746279955,-0.009852232429181651,0.002617505321450997,11.70614793,224,0,11455519.0
2020-07-15,2.5153264225753764,-0.0223661479473809,0.0031696975094388513,12.55290136,207,3,11455519.0
2020-07-16,2.548402277960139,-0.033075855384762765,0.00462536732160479,13.48694895,260,5,11455519.0
2020-07-17,2.587892933095896,-0.039490655135757,0.006541118445849481,14.57812605,226,5,11455519.0
2020-07-18,2.6326741568300562,-0.04478122373416005,0.009586642738807827,15.73913849,274,2,11455519.0
2020-07-19,2.6888528220053836,-0.056178665175327325,0.012030716604977565,17.31043351,130,3,11455519.0
2020-07-20,2.7473535036169006,-0.058500681611517,0.013407856842138743,17.88657502,64,1,11455519.0
2020-07-21,2.8065941678191275,-0.059240664202226956,0.019848170862839742,18.23575169,443,2,11455519.0
2020-07-22,2.8766107493187465,-0.07001658149961898,0.02207844290392713,21.12518865,145,1,11455519.0
2020-07-23,2.939675743253916,-0.06306499393516951,0.024694215886522652,21.52674183,553,2,11455519.0
