date,O,R,I,demand,S,inflation_yoy_pct
1976-09-01,0.44583455750049716,0.771328851264858,0.43233384132233943,5.49451,0.7768243268619246,5.49451
1976-10-01,0.459631314849788,0.7955045515831102,0.479702708028331,5.46448,0.7742103861763606,5.46448
1976-11-01,0.48495984978444645,0.7814295341252968,0.4588405645259641,5.06329,0.7372346890812136,5.06329
1976-12-01,0.5199968908583544,0.8049882531857009,0.5124600942140466,5.03597,0.7345799161025125,5.03597
1977-01-01,0.562203835902821,0.8342227757762046,0.599737175225861,5.19713,0.7499911332699071,5.19713
1977-02-01,0.6116827565477473,0.7847413029388999,0.8205214741218183,6.08229,0.8236311128825984,6.08229
1977-03-01,0.6546412535393812,0.7706281216919414,0.923872155046922,6.42857,0.8473912427864458,6.42857
1977-04-01,0.7001020023688335,0.7375793403974222,0.9535268604085533,6.95187,0.8782471632872169,6.95187
1977-05-01,0.729604143323425,0.7536240334172312,0.9754745611992217,6.73759,0.8663187873486038,6.73759
1977-06-01,0.7627225833614178,0.7745854946052512,0.9618579515631105,6.70194,0.8642409518794584,6.70194
1977-07-01,0.815663543354222,0.8159804845647823,0.9449405410362594,6.66667,0.8621585411038357,6.66667
1977-08-01,0.8496574812778798,0.8296653832891111,0.9353307129679682,6.63176,0.8600710249281465,6.63176
1977-09-01,0.8698979238685896,0.8314569611684293,0.9647562320986462,6.42361,0.8470702544852218,6.42361
1977-10-01,0.8870261781867594,0.831112426960868,0.9609210261929468,6.39033,0.8449022006120831,6.39033
1977-11-01,0.8976795182797648,0.8394830180467228,0.8905858904415125,6.71256,0.8648627622517205,6.71256
1977-12-01,0.9042761031680279,0.8387239826848343,0.8937386455681582,6.67808,0.8628351303531702,6.67808
1978-01-01,0.902798518413481,0.8413668250831416,0.8673837362617636,6.81431,0.8706991894045746,6.81431
1978-02-01,0.9028823450660003,0.87426295122108,0.9826224585491121,6.23946,0.8347578901436586,6.23946
1978-03-01,0.9023811334360758,0.8965145605032597,0.957854184501799,6.37584,0.8439504237499048,6.37584
1978-04-01,0.9021455526851018,0.9388276016127846,0.9383528394792366,6.5,0.8519528019683106,6.5
1978-05-01,0.8936587572405849,0.8933936106353829,0.8169312806062429,7.14286,0.8880951568072493,7.14286
1978-06-01,0.8816311770044196,0.8658828191879391,0.7698117805775547,7.43802,0.9019436736663662,7.43802
1978-07-01,0.8699256081502911,0.8386412944750197,0.729291286505297,7.73026,0.9141293509426608,7.73026
1978-08-01,0.8573504043441542,0.8290155387683883,0.7219172174309619,7.85597,0.9189365577341956,7.85597
1978-09-01,0.8371680791273055,0.7846236312557023,0.6209543606059197,8.48287,0.9394278042923294,8.48287
1978-10-01,0.8127864886055941,0.7409027703688199,0.5603903290209924,8.92857,0.950934311261447,8.92857
1978-11-01,0.8050316473670159,0.7689563357063293,0.603850134411821,8.87097,0.9495729682074534,8.87097
1978-12-01,0.8025239937423932,0.7601245988349697,0.6132774173637519,8.98876,0.9523195872518073,8.98876
1979-01-01,0.7979049724180873,0.7468298188441254,0.5946369651583002,9.2504,0.9579203346161828,9.2504
1979-02-01,0.7704285104275005,0.7451315302271626,0.5073678390942173,9.84127,0.9683432430862895,9.84127
1979-03-01,0.7370638654019834,0.7160083186883324,0.45676934734560787,10.25237,0.9740725870115969,10.25237
1979-04-01,0.7023952910030186,0.7044955756295199,0.43957845408938406,10.48513,0.9768551254127268,10.48513
1979-05-01,0.6719378198885161,0.7501140249211237,0.4300251480181311,10.69767,0.9791398736555593,10.69767
1979-06-01,0.6409379141266368,0.7411995998399495,0.390442835360416,11.07692,0.982680653047073,11.07692
1979-07-01,0.6101853596974712,0.7325894249666831,0.3554466756742357,11.45038,0.985588181465912,11.45038
1979-08-01,0.5800273012177404,0.7050235080460291,0.3215050071120584,11.83612,0.9880860522762039,11.83612
1979-09-01,0.5601099833853117,0.7668615677243575,0.3584341353606539,11.8797,0.9883398549438734,11.8797
1979-10-01,0.5451688344100372,0.7937733997032722,0.367452952680655,12.07154,0.9893950203849138,12.07154
1979-11-01,0.524229174661568,0.7446428217050529,0.3119762357743346,12.59259,0.9918073786510316,12.59259
1979-12-01,0.49984864771950127,0.6869296315701718,0.23396675260578118,13.25479,0.9941029878300063,13.25479
1980-01-01,0.4715868850170224,0.6495948447335921,0.16967921932855995,13.86861,0.9956546969303409,13.86861
1980-02-01,0.45883959678988595,0.6811467574094149,0.17708678291965887,14.16185,0.9962450750938716,14.16185
1980-03-01,0.44800017322828534,0.6790986340586208,0.15938786158042623,14.59227,0.9969699303399682,14.59227
1980-04-01,0.4483655310684183,0.7034524320595507,0.22773308809094767,14.58924,0.9969653502466167,14.58924
1980-05-01,0.4515476057706309,0.708654368541097,0.32156956779311924,14.42577,0.9967077454847928,14.42577
1980-06-01,0.46216391012088276,0.7319141379198635,0.4108665356383499,14.26593,0.9964348051325038,14.26593
1980-07-01,0.48921213979484257,0.6532765902808532,0.6803836816991959,13.15068,0.9937898455839189,13.15068
1980-08-01,0.523429914192127,0.6665438075350927,0.7749075526216443,12.89009,0.9929317218843345,12.89009
1980-09-01,0.552924924320267,0.6583078498165001,0.835167788939528,12.76882,0.9924931934084554,12.76882
1980-10-01,0.580152898040036,0.6642444392390924,0.8934865155932219,12.63298,0.9919698539354889,12.63298
1980-11-01,0.6141052389585049,0.7193328087649843,0.9252578232054232,12.63158,0.9919642760508379,12.63158
1980-12-01,0.6524435845301472,0.7600758339932844,1.0,12.35371,0.990777601992096,12.35371
1981-01-01,0.6895681992224033,0.765904292679965,0.8667635015475973,11.79487,0.9878407943995717,11.79487
1981-02-01,0.7140546737666102,0.7543258230954023,0.7728936110649539,11.39241,0.9851706273585334,11.39241
1981-03-01,0.7206909715881128,0.7171956365728509,0.6129953935326038,10.61174,0.9782440096600022,10.61174
1981-04-01,0.7138751697125436,0.6670802207936339,0.5203050124577835,10.13597,0.9725614686196269,10.13597
1981-05-01,0.69650290249933,0.6479368401162824,0.4587466961427345,9.79192,0.9675780364814144,9.79192
1981-06-01,0.6735547694041553,0.6548158631097108,0.4512200595445422,9.69697,0.9660551901758507,9.69697
1981-07-01,0.6667188764262598,0.6587806567597995,0.6734893378412041,10.77482,0.9799133749170709,10.77482
1981-08-01,0.6585103404135435,0.6819015523502872,0.6905595671007881,10.81731,0.9803273075668082,10.81731
1981-09-01,0.6521931100935071,0.6790541096379513,0.7279844979337734,10.96544,0.9817060226773677,10.96544
1981-10-01,0.6375637669406204,0.6198949359365676,0.6036078853193295,10.27155,0.9743136862385909,10.27155
1981-11-01,0.6144541042228707,0.546672405935165,0.4897475461330867,9.57944,0.9640744576058912,9.57944
1981-12-01,0.5872247440932051,0.5053781259747671,0.3919866813743322,8.91204,0.9505472404518982,8.91204
1982-01-01,0.5604140507899927,0.49516719216790883,0.30731162189728195,8.25688,0.9326696522327622,8.25688
1982-02-01,0.5337433012648868,0.46964197786127093,0.23287382652379174,7.61364,0.9094402955844716,7.61364
1982-03-01,0.5101153794151945,0.475144984234963,0.15095586819411974,6.88488,0.8746199582779112,6.88488
1982-04-01,0.4947557660930597,0.49768918256725625,0.16479605372962647,6.62177,0.8594688005059142,6.62177
1982-05-01,0.49569024462228345,0.5034020897812471,0.2860267775933608,6.91193,0.8760956090220532,6.91193
1982-06-01,0.5101449696236287,0.4848036032044693,0.3996817953918447,7.18232,0.8900410039106854,7.18232
