t,z,O,R,I,demand,S
64,0.10341823489932885,0.7742201342281887,0.9286865771812083,0.9595268456375838,0.26290067114093957,0.4595510067114094
65,0.10724701342281877,0.6351067114093961,0.8246590604026862,0.9562557046979867,0.27149932885906036,0.45260201342281886
66,0.1112282751677852,0.6259375838926176,0.5618107382550358,0.935591946308725,0.28033624161073817,0.4458912751677853
67,0.11538472483221475,0.5800255033557049,0.6348684563758384,0.9377181208053691,0.289431543624161,0.4394389261744967
68,0.11965591946308722,0.5967147651006701,0.7735469798657716,0.9436013422818792,0.29870939597315427,0.4331147651006712
69,0.12409962416107378,0.8083355704697971,0.831285906040268,0.9421395973154362,0.3082771812080536,0.4269355704697987
70,0.1287361342281879,0.8631107382550335,0.7417684563758402,0.9404228187919463,0.3181510067114093,0.43162080536912745
71,0.13350061744966438,0.8170234899328881,0.684918791946307,0.9454167785234897,0.3282221476510066,0.4395067114093959
72,0.13846058389261742,0.6210167785234915,0.8449134228187907,0.9694691275167783,0.3385872483221476,0.44714765100671133
73,0.14363246308724834,0.5902114093959732,0.6411328859060405,0.9649812080536913,0.3492040268456376,0.44446979865771813
74,0.1489469865771812,0.6075053691275167,0.4836791946308715,0.9505885906040269,0.3600020134228188,0.4418456375838926
75,0.1544830134228187,0.6106946308724832,0.8079208053691231,0.9339114093959734,0.37109798657718107,0.4491543624161073
76,0.1602524630872483,0.6025107382550337,0.8793208053691276,0.9458906040268455,0.3824919463087248,0.4466791946308725
77,0.16618082550335564,0.6191879194630864,0.8525765100671147,0.9651993288590603,0.39408322147651,0.4409630872483222
78,0.17235935570469796,0.7255630872483215,0.78606711409396,0.9771590604026844,0.40597651006711405,0.43544832214765106
79,0.17879510067114093,0.6809899328859063,0.779231543624161,0.9722651006711409,0.41811476510067114,0.4390953020134228
80,0.18540812751677851,0.603493288590604,0.7679483221476512,0.9579724832214765,0.43043288590604023,0.44595906040268457
81,0.19230424161073817,0.5948557046979867,0.6717389261744976,0.9324583892617452,0.44305704697986564,0.45266979865771806
82,0.1994835234899328,0.6681724832214755,0.6615912751677849,0.9329899328859059,0.4559711409395972,0.45923557046979857
83,0.2068603892617449,0.6880463087248347,0.6833476510067112,0.9448536912751676,0.4690677852348992,0.4630892617449665
84,0.21455714093959719,0.41330469798658187,0.7038120805369124,0.9621953020134225,0.4824228187919461,0.45764093959731555
85,0.22256553020134215,0.43909798657717874,0.7968013422818772,0.9529476510067117,0.49606375838926153,0.4605791946308724
86,0.23079420805369116,0.5894865771812057,0.8914724832214765,0.9398241610738254,0.5098738255033556,0.4667825503355704
87,0.23938461744966436,0.7624375838926156,0.8861570469798659,0.9512523489932885,0.5238932885906039,0.4728288590604026
88,0.24831844966442954,0.6731939597315434,0.7784724832214763,0.956855033557047,0.5381476510067115,0.47868724832214765
89,0.2574980469798657,0.5494610738255026,0.6819214765100665,0.9559503355704699,0.5525530201342281,0.48444093959731543
90,0.26708642953020134,0.7185583892617448,0.7968677852348991,0.9388744966442953,0.5671704697986577,0.4900885906040269
91,0.2770517651006711,0.6380053691275179,0.8793053691275163,0.9396738255033557,0.5819268456375838,0.4955973154362416
92,0.28729091275167773,0.47701342281879244,0.892865771812083,0.9405046979865775,0.5967946308724831,0.4989926174496645
93,0.2979928791946308,0.43435704697986616,0.6759295302013442,0.9087449664429533,0.6118771812080536,0.49374362416107387
94,0.30910923489932873,0.5620201342281852,0.5925744966442956,0.9139060402684561,0.6270966442953018,0.4885859060402685
95,0.32053071812080514,0.6950751677852385,0.5905208053691259,0.9332771812080535,0.642402684563758,0.4853543624161073
96,0.3324751677852347,0.5029885906040299,0.6802852348993275,0.9408516778523489,0.6578174496644292,0.49060335570469793
97,0.34487602684563745,0.4775026845637577,0.620716107382552,0.9365100671140941,0.6732771812080535,0.4957624161073825
98,0.3576171812080535,0.5141651006711415,0.5649771812080501,0.9331060402684561,0.6887583892617448,0.5008557046979865
99,0.3709482953020134,0.4667912751677854,0.8717442953020125,0.961676510067114,0.7042395973154363,0.5058389261744966
100,0.3847812751677852,0.37237583892617493,0.8238832214765108,0.9507798657718122,0.7197208053691275,0.5106892617449664
101,0.39899372483221474,0.30927986577181166,0.6600771812080534,0.9266785234899328,0.7351912751677853,0.515451677852349
102,0.4138729597315435,0.5306677852348971,0.8146234899328844,0.9364456375838925,0.7506060402684562,0.5201026845637584
103,0.4293040402684562,0.6386328859060397,0.8218073825503363,0.9434208053691274,0.7658899328859059,0.524710067114094
104,0.44515827516778506,0.6812691275167784,0.7729295302013416,0.9500630872483221,0.7810651006711409,0.5292644295302013
105,0.46176569127516753,0.6903053691275166,0.8417644295302001,0.9630194630872482,0.7960147651006709,0.5336496644295301
106,0.478979174496644,0.6848664429530203,0.6771496644295354,0.9489583892617455,0.8107926174496641,0.5379919463087247
107,0.4966641946308722,0.6615422818791958,0.47884563758388715,0.9278362416107379,0.8254107382550334,0.5422825503355704
108,0.5151997852348991,0.5776912751677862,0.8511255033557004,0.9535496644295299,0.8396295302013421,0.5464020134228188
109,0.5344013154362413,0.5151503355704706,0.7416879194630932,0.9555006711409397,0.853594630872483,0.5505214765100671
110,0.5541285637583888,0.471434899328859,0.37194630872483814,0.944073825503356,0.8673275167785233,0.5534543624161076
111,0.5748162416107382,0.4717006711409396,0.10119127516778587,0.9339744966442953,0.88048322147651,0.5485375838926174
112,0.5962358523489931,0.43106308724832254,0.2844510067114066,0.9391046979865771,0.8931812080536912,0.549155033557047
113,0.618241818791946,0.3834275167785225,0.7063597315436217,0.9512536912751678,0.9055174496644294,0.5530671140939597
114,0.6413320738255031,0.4620295302013416,0.8941275167785216,0.948396644295302,0.917211409395973,0.5569208053691275
115,0.665225563758389,0.3937402684563769,0.9320563758389265,0.9422644295302014,0.9283322147651005,0.5607335570469799
116,0.689772543624161,0.27093892617449583,0.8887724832214763,0.9357161073825504,0.9389852348993287,0.5645060402684564
117,0.7155444362416105,0.44408926174496427,0.9425248322147645,0.9421610738255033,0.9487523489932884,0.5681604026845637
118,0.742198208053691,0.31615234899329303,0.658424832214772,0.9418409395973155,0.9578751677852347,0.5667409395973155
119,0.7695804362416104,0.04660268456375592,0.2529624161073771,0.938076510067114,0.9664516778523489,0.5628624161073825
