t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
155,0.3051923181848215,0.3466249445745917,0.7522617705263877,79.57971931175577,0.6948076818151785,0.0,0.0,0.0,1.0,15.67479647859134,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,155
156,0.2896479644870402,0.3569329229502094,0.7220335730726404,74.64736484323305,0.7103520355129598,0.0,0.0,0.0,1.0,15.554796478591339,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,156
157,0.275076158276251,0.3688109249957765,0.6932641657749865,70.33240692449839,0.724923841723749,0.0,0.0,0.0,1.0,15.434796478591338,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,157
158,0.3046414842569175,0.3826862179812645,0.6391604916638035,74.51467072564542,0.6953585157430825,0.0,0.0,0.0,1.0,15.314796478591337,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,158
159,0.2561411309495843,0.3935650920012565,0.5919105104783288,59.66943772005395,0.7438588690504156,0.0,0.0,0.0,1.0,15.194796478591336,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,159
160,0.2534870815781332,0.4099874966185026,0.5701144511446592,59.250018891545835,0.7465129184218667,0.0,0.0,0.0,1.0,15.074796478591335,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,160
161,0.2296239587212133,0.4155651656757257,0.5447257889522841,51.97976031694499,0.7703760412787867,0.0,0.0,0.0,1.0,14.954796478591334,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,161
162,0.2505770007373602,0.4211411870860766,0.5564990486145924,58.726396073825356,0.7494229992626398,0.0,0.0,0.0,1.0,14.834796478591333,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,162
163,0.1554786138910847,0.4168314487257106,0.5702471839954107,36.956793841513786,0.8445213861089153,0.0,0.0,0.0,1.0,14.714796478591332,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,163
164,0.175144628046893,0.417635792597029,0.6204822438252224,45.38620717095389,0.824855371953107,0.0,0.0,0.0,1.0,14.59479647859133,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,164
165,0.1665089622605345,0.4144032175043496,0.6367935340505602,43.93993172908404,0.8334910377394654,0.0,0.0,0.0,1.0,14.47479647859133,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,165
166,0.2161305930683017,0.4201095638830705,0.6530397813213735,59.29505165027117,0.7838694069316983,0.0,0.0,0.0,1.0,14.354796478591329,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,166
